"","x","y"
"1",-37.366975,-10.033768
"2",-37.398194,-10.044116
"3",-37.466976,-10.017102
"4",-37.475272,-10.018491
"5",-37.400309,-10.033768
"6",-37.60031,-10.050435
"7",-37.700311,-10.067102
"8",-37.639585,-10.224598
"9",-37.66651,-10.20592
"10",-37.762039,-10.385489
"11",-37.767883,-10.381126
"12",-37.950313,-10.833772
"13",-37.973092,-10.000654
"14",-37.977203,-9.996046
"15",-38.030945,-10.230825
"16",-38.031519,-10.228141
"17",-38.095386,-9.828711
"18",-38.210154,-9.974071
"19",-38.212821,-9.972693
"20",-38.216136,-9.971381
"21",-38.22542,-9.995902
"22",-38.236332,-9.991966
"23",-38.239398,-9.972059
"24",-38.246168,-9.968059
"25",-38.247567,-9.990418
"26",-38.258987,-10.055785
"27",-38.263279,-10.050233
"28",-38.281858,-10.041899
"29",-38.273604,-10.437138
"30",-38.31158,-10.447188
"31",-38.312391,-10.448275
"32",-38.313079,-10.446911
"33",-38.962061,-10.305525
"34",-38.96408,-10.29895
"35",-38.903108,-11.833714
"36",-38.958515,-11.824123
"37",-38.967595,-11.816944
"38",-38.979244,-11.822353
"39",-38.98188,-11.800965
"40",-38.982073,-11.800197
"41",-38.982622,-11.823755
"42",-39.03656,-10.773611
"43",-39.039221,-10.76331
"44",-39.041401,-10.786408
"45",-39.041839,-10.778847
"46",-39.043374,-10.772263
"47",-39.058283,-10.720013
"48",-39.058402,-10.723856
"49",-39.061983,-10.703226
"50",-39.063791,-10.689524
"51",-39.068774,-10.68718
"52",-39.070164,-10.684521
"53",-39.071031,-10.679917
"54",-39.072246,-10.672998
"55",-39.073206,-10.674798
"56",-39.074119,-10.669697
"57",-39.08174,-10.951274
"58",-39.085429,-10.954501
"59",-39.090858,-10.958524
"60",-39.067455,-11.926798
"61",-39.141124,-11.88792
"62",-39.15086,-11.858515
"63",-39.205963,-11.852538
"64",-39.222462,-11.785813
"65",-39.230014,-11.783049
"66",-38.984186,-10.396468
"67",-39.156541,-10.631943
"68",-39.164222,-10.635086
"69",-39.170756,-10.628779
"70",-39.171492,-10.636864
"71",-39.172962,-10.634331
"72",-39.173129,-10.638491
"73",-39.182794,-10.623834
"74",-39.166727,-10.446793
"75",-39.342616,-10.404787
"76",-39.802884,-10.690578
"77",-39.806465,-10.641192
"78",-39.812713,-10.714463
"79",-39.815556,-10.710558
"80",-39.820071,-10.710022
"81",-39.821072,-10.724977
"82",-39.828239,-10.69743
"83",-39.831348,-10.697476
"84",-39.832029,-10.695602
"85",-39.833871,-10.69708
"86",-39.845947,-10.725706
"87",-40.079199,-11.879211
"88",-40.085954,-11.8765
"89",-40.097092,-11.877162
"90",-40.155732,-11.891278
"91",-40.161722,-11.883667
"92",-40.353733,-10.959368
"93",-40.381266,-10.43223
"94",-40.425216,-13.035047
"95",-40.473313,-12.313413
"96",-40.474488,-12.303273
"97",-40.475647,-12.316483
"98",-40.531574,-12.39214
"99",-40.614853,-11.469981
"100",-40.592824,-12.511386
"101",-40.619754,-12.532143
"102",-40.629594,-12.533928
"103",-40.630389,-12.54186
"104",-40.643605,-12.542276
"105",-40.656514,-12.550929
"106",-41.15884,-13.931311
"107",-41.16849,-13.951204
"108",-41.172138,-13.909027
"109",-41.173506,-11.905765
"110",-41.218484,-12.522427
"111",-41.222661,-12.526874
"112",-41.364219,-12.5546
"113",-41.248863,-12.88231
"114",-41.253467,-12.963354
"115",-41.275294,-12.944901
"116",-41.321889,-12.665022
"117",-41.32569,-12.658926
"118",-41.332636,-12.677009
"119",-41.334211,-12.68623
"120",-41.335017,-12.688835
"121",-42.149943,-11.354903
"122",-42.315827,-11.300519
"123",-42.326547,-11.291544
"124",-42.361847,-11.730511
"125",-42.367883,-11.386764
"126",-42.380504,-11.54339
"127",-42.409881,-11.535169
"128",-42.712304,-11.37854
